136	138	84	70	-0.92	13	83
137	138	82	72	0.33	5	74
134	139	81	71	-1.69	10	118
132	138	85	71	1.63	5	90
132	139	84	70	-4.33	13	103
134	139	87	72	-5.07	13	66
135	137	85	70	-6.46	7	84
135	137	86	72	-2.12	9	158
137	138	86	70	2.16	5	127
134	137	87	71	-2.61	25	130
137	137	84	70	6.36	30	23
137	139	85	73	0.63	11	59
139	137	87	70	1.84	10	28
138	137	85	71	1.69	6	62
136	140	87	72	-1.03	7	36
130	138	85	73	-1.50	8	59
137	137	84	71	0.01	9	102
133	136	85	69	-4.01	13	37
135	139	86	71	-2.06	19	90
137	136	84	71	3.29	13	31


137	140	84	73	179.80	8	23
136	138	85	71	0.16	10	108
134	137	86	71	179.14	7	64
133	139	82	71	1.32	16	68
132	137	87	71	175.16	6	87
134	138	86	73	2.90	4	57
135	139	85	72	178.63	4	44
130	138	84	71	176.78	15	70
135	137	86	73	1.21	11	66
137	138	85	71	179.50	19	85
131	138	87	72	179.68	10	90
133	139	86	69	0.19	5	20
134	139	85	72	1.46	18	33
131	137	84	71	1.37	13	41
133	139	84	72	0.55	29	35
136	137	85	73	0.34	7	71
133	137	85	69	178.76	4	20
135	139	85	70	0.15	4	89
135	138	81	73	177.40	15	68
132	138	85	72	179.76	5	85
135	138	82	71	178.02	5	84
138	138	83	71	177.82	18	56
133	137	84	71	179.43	6	41
135	138	89	71	1.64	5	96
135	137	84	71	3.14	4	45
133	138	86	71	179.91	9	102
136	138	85	71	1.40	5	121
137	139	85	71	2.88	21	103
135	137	86	73	179.33	8	71
166	89	45	28	25.12	24	92
165	89	45	27	26.45	32	64
167	90	45	30	25.69	12	69
164	87	45	29	2.42	16	7
134	138	88	71	177.65	9	86
164	89	43	28	-23.83	12	5
130	139	84	72	-0.33	16	41
168	87	47	27	-23.12	23	7
167	88	45	27	-24.56	10	6
165	90	46	27	-22.06	14	16
165	88	45	29	158.05	5	7
167	89	46	30	153.97	9	9
168	89	43	27	157.56	9	9
165	90	46	27	155.94	30	14
167	88	47	28	156.20	12	8
167	87	45	29	157.54	43	9
166	89	46	27	156.71	13	9
164	89	44	28	155.95	10	7
165	90	43	28	156.37	14	10
167	89	43	28	158.13	8	10
167	89	47	27	158.25	8	9
167	89	44	28	153.91	9	9
165	87	47	27	153.73	5	8
167	89	46	28	154.94	5	7
166	89	48	26	154.92	13	11
166	89	46	29	156.21	9	6
165	87	49	26	156.11	12	6
166	87	46	25	157.10	5	7
166	89	47	29	154.84	7	7
167	90	44	29	154.26	10	8
167	90	47	27	153.43	10	11
136	139	84	70	2.53	11	100
136	139	85	73	0.18	5	36
131	139	86	70	2.50	3	36
132	136	85	72	178.34	7	27
136	136	83	72	1.69	12	21
137	137	87	69	3.50	18	34

136	138	82	70	5.35	16	22
132	136	80	72	3.66	12	18
138	140	83	71	-2.86	20	10
130	139	81	70	1.71	21	33
135	138	86	71	4.71	8	99
134	140	84	69	2.64	7	56
133	140	83	70	1.00	28	51
132	137	86	70	-1.59	6	34
137	138	85	70	-3.04	36	41
131	138	86	72	4.23	19	41
135	138	86	71	4.08	10	107
131	138	82	71	2.56	5	56
135	139	88	71	4.39	3	68
136	138	85	71	-2.33	7	60

